step 039100 | loss 0.7521
step 039200 | loss 0.7886
step 039300 | loss 0.7549
step 039400 | loss 0.7522
step 039500 | loss 0.7533
step 039600 | loss 0.7483
step 039700 | loss 0.7534
step 039800 | loss 0.7533
step 039900 | loss 0.7519
step 040000 | loss 0.7743
step 040100 | loss 0.7543
step 040200 | loss 0.7552
step 040300 | loss 0.7515
step 040400 | loss 0.7516
step 040500 | loss 0.7545
step 040600 | loss 0.7526
step 040700 | loss 0.7472
step 040800 | loss 0.7967
step 040900 | loss 0.7659
step 041000 | loss 0.7574
step 041100 | loss 0.7552
step 041200 | loss 0.7517
step 041300 | loss 0.7525
step 041400 | loss 0.7522
step 041500 | loss 0.7508
step 041600 | loss 0.7503
step 041700 | loss 0.7525
step 041800 | loss 0.7498
step 041900 | loss 0.7517
step 042000 | loss 0.7568
step 042100 | loss 0.7702
step 042200 | loss 0.7533
step 042300 | loss 0.7498
step 042400 | loss 0.7513
step 042500 | loss 0.7573
step 042600 | loss 0.7558
step 042700 | loss 0.7510
step 042800 | loss 0.7550
step 042900 | loss 0.7575
step 043000 | loss 0.7650
step 043100 | loss 0.7495
step 043200 | loss 0.7538
step 043300 | loss 0.7511
step 043400 | loss 0.7512
step 043500 | loss 0.7543
step 043600 | loss 0.7530
step 043700 | loss 0.7510
step 043800 | loss 0.7554
step 043900 | loss 0.7538
step 044000 | loss 0.7540
step 044100 | loss 0.7486
step 044200 | loss 0.7574
step 044300 | loss 0.7540
step 044400 | loss 0.7536
step 044500 | loss 0.7567
step 044600 | loss 0.7543
step 044700 | loss 0.7557
step 044800 | loss 0.7561
step 044900 | loss 0.7512
step 045000 | loss 0.7523
step 045100 | loss 0.7591
step 045200 | loss 0.7760
step 045300 | loss 0.7539
step 045400 | loss 0.7521
step 045500 | loss 0.7511
step 045600 | loss 0.7501
step 045700 | loss 0.7508
step 045800 | loss 0.7533
step 045900 | loss 0.7560
step 046000 | loss 0.7533
step 046100 | loss 0.7530
step 046200 | loss 0.7503
step 046300 | loss 0.7526
step 046400 | loss 0.7797
step 046500 | loss 0.7560
step 046600 | loss 0.7494
step 046700 | loss 0.7499
step 046800 | loss 0.7491
step 046900 | loss 0.7529
step 047000 | loss 0.7551
step 047100 | loss 0.7532
step 047200 | loss 0.7573
step 047300 | loss 0.7657
step 047400 | loss 0.7556
step 047500 | loss 0.7535
step 047600 | loss 0.7544
step 047700 | loss 0.7522
step 047800 | loss 0.7545
step 047900 | loss 0.7534
step 048000 | loss 0.7490
step 048100 | loss 0.7500
step 048200 | loss 0.7564
step 048300 | loss 0.7512
step 048400 | loss 0.7567
step 048500 | loss 0.7612
step 048600 | loss 0.7599
step 048700 | loss 0.7529
step 048800 | loss 0.7527
step 048900 | loss 0.7549
step 049000 | loss 0.7499
step 049100 | loss 0.7533
step 049200 | loss 0.7547
step 049300 | loss 0.7571
step 049400 | loss 0.7552
step 049500 | loss 0.7567
step 049600 | loss 0.7543
step 049700 | loss 0.7576
step 049800 | loss 0.7514
step 049900 | loss 0.7501
